2025-06-15 12:44:30,004 - sparsemodesnet.heat_equation - INFO - Starting heat_equation experiment
2025-06-15 12:44:30,004 - sparsemodesnet.heat_equation - INFO - Log file: logs/heat_equation_20250615_124430.log
2025-06-15 12:44:30,005 - sparsemodesnet.heat_equation - INFO - Experiment: Heat Equation
2025-06-15 12:44:30,005 - sparsemodesnet.heat_equation - INFO - Data shape: (128, 1000)
2025-06-15 12:44:30,005 - sparsemodesnet.heat_equation - INFO - POD dimension: 128
2025-06-15 12:44:30,006 - sparsemodesnet.heat_equation - INFO - Hidden units: [128, 8256]
2025-06-15 12:44:30,006 - sparsemodesnet.heat_equation - INFO - Regularization method: dense2sparse
2025-06-15 12:44:30,006 - sparsemodesnet.heat_equation - INFO - Device: mps
2025-06-15 12:44:30,007 - sparsemodesnet.heat_equation - INFO - Training parameters: M=1e-05, lr=0.001, batch_size=64
2025-06-15 12:44:30,007 - sparsemodesnet.heat_equation - INFO - Optimizer: Adam, knee_method: zmethod
2025-06-15 12:44:30,007 - sparsemodesnet.heat_equation - INFO - ==================================================

=== SparseModesNet (λ-path=dense2sparse) on Heat Equation: d=128, n=1000, s=128 ===

=== Dense-To-Sparse (default) λ-Path ===

-- Path iteration 1, λ = 1.000e-07   (r(λ) prev = 128)
  λ=7.430e-07 | Epoch  80 | lr=3.1250e-05 | Recon MSE=1.164064e-03 | ‖ω‖₁=8.320505e-01
  → at λ=7.430e-07:  r(λ)=6,  rel_err=9.439691e-02

-- Path iteration 13, λ = 8.916e-07   (r(λ) prev = 6)
  λ=8.916e-07 | Epoch   1 | lr=1.0000e-03 | Recon MSE=1.268696e-01 | ‖ω‖₁=4.048627e-02
  λ=8.916e-07 | Epoch  10 | lr=1.0000e-03 | Recon MSE=9.220797e-02 | ‖ω‖₁=6.027223e-01
  λ=8.916e-07 | Epoch  20 | lr=5.0000e-04 | Recon MSE=2.293672e-03 | ‖ω‖₁=7.988216e-01
  λ=8.916e-07 | Epoch  30 | lr=5.0000e-04 | Recon MSE=1.255124e-03 | ‖ω‖₁=8.103749e-01
  λ=8.916e-07 | Epoch  40 | lr=2.5000e-04 | Recon MSE=6.485324e-03 | ‖ω‖₁=8.154446e-01
  λ=8.916e-07 | Epoch  50 | lr=1.2500e-04 | Recon MSE=1.548611e-03 | ‖ω‖₁=8.292977e-01
  λ=8.916e-07 | Epoch  60 | lr=1.2500e-04 | Recon MSE=1.350144e-03 | ‖ω‖₁=8.358338e-01
  λ=8.916e-07 | Epoch  70 | lr=6.2500e-05 | Recon MSE=1.197073e-03 | ‖ω‖₁=8.427051e-01
  λ=8.916e-07 | Epoch  80 | lr=3.1250e-05 | Recon MSE=1.745046e-03 | ‖ω‖₁=8.516194e-01
  → at λ=8.916e-07:  r(λ)=5,  rel_err=9.010922e-02

-- Path iteration 14, λ = 1.070e-06   (r(λ) prev = 5)
  λ=1.070e-06 | Epoch   1 | lr=1.0000e-03 | Recon MSE=1.268661e-01 | ‖ω‖₁=4.093726e-02
  λ=1.070e-06 | Epoch  10 | lr=1.0000e-03 | Recon MSE=9.209364e-02 | ‖ω‖₁=5.457519e-01
  λ=1.070e-06 | Epoch  20 | lr=5.0000e-04 | Recon MSE=2.252703e-03 | ‖ω‖₁=7.849753e-01
  λ=1.070e-06 | Epoch  30 | lr=5.0000e-04 | Recon MSE=1.263726e-03 | ‖ω‖₁=7.884605e-01
  λ=1.070e-06 | Epoch  40 | lr=2.5000e-04 | Recon MSE=1.431376e-03 | ‖ω‖₁=7.998066e-01
  λ=1.070e-06 | Epoch  50 | lr=1.2500e-04 | Recon MSE=1.510043e-03 | ‖ω‖₁=8.177635e-01
  λ=1.070e-06 | Epoch  60 | lr=1.2500e-04 | Recon MSE=1.676492e-03 | ‖ω‖₁=8.207555e-01
  λ=1.070e-06 | Epoch  70 | lr=6.2500e-05 | Recon MSE=1.019382e-03 | ‖ω‖₁=8.274479e-01
  λ=1.070e-06 | Epoch  80 | lr=3.1250e-05 | Recon MSE=1.393744e-03 | ‖ω‖₁=8.390204e-01
  → at λ=1.070e-06:  r(λ)=6,  rel_err=8.615435e-02

-- Path iteration 15, λ = 1.284e-06   (r(λ) prev = 6)
  λ=1.284e-06 | Epoch   1 | lr=1.0000e-03 | Recon MSE=1.268544e-01 | ‖ω‖₁=4.033919e-02
  λ=1.284e-06 | Epoch  10 | lr=1.0000e-03 | Recon MSE=9.245767e-02 | ‖ω‖₁=5.639639e-01
  λ=1.284e-06 | Epoch  20 | lr=5.0000e-04 | Recon MSE=2.658572e-03 | ‖ω‖₁=7.468974e-01
  λ=1.284e-06 | Epoch  30 | lr=5.0000e-04 | Recon MSE=1.246115e-03 | ‖ω‖₁=7.782838e-01
  λ=1.284e-06 | Epoch  40 | lr=2.5000e-04 | Recon MSE=1.206261e-03 | ‖ω‖₁=7.896104e-01
  λ=1.284e-06 | Epoch  50 | lr=1.2500e-04 | Recon MSE=2.923937e-03 | ‖ω‖₁=7.922459e-01
  λ=1.284e-06 | Epoch  60 | lr=1.2500e-04 | Recon MSE=1.329348e-03 | ‖ω‖₁=8.024248e-01
  λ=1.284e-06 | Epoch  70 | lr=6.2500e-05 | Recon MSE=1.458085e-03 | ‖ω‖₁=8.115967e-01
  λ=1.284e-06 | Epoch  80 | lr=3.1250e-05 | Recon MSE=1.644156e-03 | ‖ω‖₁=8.227796e-01
  → at λ=1.284e-06:  r(λ)=5,  rel_err=9.331764e-02

-- Path iteration 16, λ = 1.541e-06   (r(λ) prev = 5)
  λ=1.541e-06 | Epoch   1 | lr=1.0000e-03 | Recon MSE=1.268540e-01 | ‖ω‖₁=3.772634e-02
  λ=1.541e-06 | Epoch  10 | lr=1.0000e-03 | Recon MSE=9.247404e-02 | ‖ω‖₁=5.449315e-01
  λ=1.541e-06 | Epoch  20 | lr=5.0000e-04 | Recon MSE=2.748216e-03 | ‖ω‖₁=8.052885e-01
  λ=1.541e-06 | Epoch  30 | lr=5.0000e-04 | Recon MSE=1.230842e-03 | ‖ω‖₁=8.001752e-01
  λ=1.541e-06 | Epoch  40 | lr=2.5000e-04 | Recon MSE=1.220247e-03 | ‖ω‖₁=8.042159e-01
  λ=1.541e-06 | Epoch  50 | lr=1.2500e-04 | Recon MSE=9.660318e-04 | ‖ω‖₁=8.132988e-01
  λ=1.541e-06 | Epoch  60 | lr=1.2500e-04 | Recon MSE=1.232203e-03 | ‖ω‖₁=8.161872e-01
  λ=1.541e-06 | Epoch  70 | lr=6.2500e-05 | Recon MSE=9.298543e-04 | ‖ω‖₁=8.272707e-01
