Starting heat_equation experiment
Log file: logs/heat_equation_20250615_122424.log
Experiment: Heat Equation
Data shape: (128, 1000)
POD dimension: 128
Hidden units: [128, 8256]
Regularization method: dense2sparse
Device: mps
Training parameters: M=10.0, lr=0.001, batch_size=64
Optimizer: Adam, knee_method: zmethod
==================================================

=== SparseModesNet (λ-path=dense2sparse) on Heat Equation: d=128, n=1000, s=128 ===

=== Dense-To-Sparse (default) λ-Path ===

-- Path iteration 1, λ = 1.000e-04   (r(λ) prev = 128)
  λ=6.192e-04 | Epoch  50 | lr=1.2500e-04 | Recon MSE=4.341572e-06 | ‖ω‖₁=1.046782e+00
  λ=6.192e-04 | Epoch  60 | lr=1.2500e-04 | Recon MSE=4.369716e-06 | ‖ω‖₁=1.035210e+00
  λ=6.192e-04 | Epoch  70 | lr=6.2500e-05 | Recon MSE=4.469981e-06 | ‖ω‖₁=1.024906e+00
  λ=6.192e-04 | Epoch  80 | lr=3.1250e-05 | Recon MSE=4.399805e-06 | ‖ω‖₁=1.015489e+00
  λ=6.192e-04 | Epoch  80 | Recon MSE=4.399805e-06 | ‖ω‖₁=1.015489e+00
  → at λ=6.192e-04:  r(λ)=127, rel_err=1.768113e-03

-- Path iteration 12, λ = 7.430e-04   (r(λ) prev = 127)
  λ=7.430e-04 | Epoch   1 | lr=1.0000e-03 | Recon MSE=6.497492e-02 | ‖ω‖₁=1.104515e+00
  λ=7.430e-04 | Epoch  10 | lr=1.0000e-03 | Recon MSE=2.306010e-05 | ‖ω‖₁=1.077508e+00
  λ=7.430e-04 | Epoch  20 | lr=5.0000e-04 | Recon MSE=1.465820e-05 | ‖ω‖₁=1.063955e+00
  λ=7.430e-04 | Epoch  30 | lr=5.0000e-04 | Recon MSE=9.810872e-06 | ‖ω‖₁=1.055253e+00
  λ=7.430e-04 | Epoch  40 | lr=2.5000e-04 | Recon MSE=7.103628e-06 | ‖ω‖₁=1.044370e+00
  λ=7.430e-04 | Epoch  50 | lr=1.2500e-04 | Recon MSE=5.744126e-06 | ‖ω‖₁=1.032798e+00
  λ=7.430e-04 | Epoch  60 | lr=1.2500e-04 | Recon MSE=5.316508e-06 | ‖ω‖₁=1.021349e+00
