2025-06-23 18:36:58,451 - sparsemodesnet.heat_equation_ff_decoder - INFO - Starting heat_equation_ff_decoder experiment
2025-06-23 18:36:58,451 - sparsemodesnet.heat_equation_ff_decoder - INFO - Log file: logs/heat_equation_ff_decoder_20250623_183658.log
2025-06-23 18:36:58,452 - sparsemodesnet.heat_equation_ff_decoder - INFO - Experiment: Heat Equation FF Decoder
2025-06-23 18:36:58,452 - sparsemodesnet.heat_equation_ff_decoder - INFO - Data shape: (128, 1000)
2025-06-23 18:36:58,453 - sparsemodesnet.heat_equation_ff_decoder - INFO - POD dimension: 30
2025-06-23 18:36:58,453 - sparsemodesnet.heat_equation_ff_decoder - INFO - Hidden units: [30, 465]
2025-06-23 18:36:58,453 - sparsemodesnet.heat_equation_ff_decoder - INFO - Mode Selection Method: None
2025-06-23 18:36:58,453 - sparsemodesnet.heat_equation_ff_decoder - INFO - Device: mps
2025-06-23 18:36:58,454 - sparsemodesnet.heat_equation_ff_decoder - INFO - Training parameters: M=1.0, lr=0.001, batch_size=16
2025-06-23 18:36:58,454 - sparsemodesnet.heat_equation_ff_decoder - INFO - Optimizer: Adam, knee_method: dfdt
2025-06-23 18:36:58,454 - sparsemodesnet.heat_equation_ff_decoder - INFO - NN type: Feedforward
2025-06-23 18:36:58,455 - sparsemodesnet.heat_equation_ff_decoder - INFO - ==================================================
Skipping mode selection.

→ Training decoder model with 3 selected modes ...
  Epoch 1150 | lr=2.5000e-04 | Recon MSE=1.825646e-09
  Epoch 1160 | lr=2.5000e-04 | Recon MSE=2.363564e-09
  Epoch 1170 | lr=2.5000e-04 | Recon MSE=1.296490e-09
  Epoch 1180 | lr=2.5000e-04 | Recon MSE=1.964376e-09
  Epoch 1190 | lr=2.5000e-04 | Recon MSE=2.158124e-09
  Epoch 1200 | lr=1.2500e-04 | Recon MSE=1.616522e-09
  Epoch 1210 | lr=1.2500e-04 | Recon MSE=8.213525e-10
  Epoch 1220 | lr=1.2500e-04 | Recon MSE=6.102782e-10
  Epoch 1230 | lr=1.2500e-04 | Recon MSE=5.556959e-10
  Epoch 1240 | lr=1.2500e-04 | Recon MSE=5.666479e-10
  Epoch 1250 | lr=1.2500e-04 | Recon MSE=6.565910e-10
  Epoch 1260 | lr=1.2500e-04 | Recon MSE=6.850406e-10
  Epoch 1270 | lr=1.2500e-04 | Recon MSE=1.058531e-09
  Epoch 1280 | lr=1.2500e-04 | Recon MSE=9.101782e-10
  Epoch 1290 | lr=1.2500e-04 | Recon MSE=7.007693e-10
  Epoch 1300 | lr=1.2500e-04 | Recon MSE=1.975329e-09
  Epoch 1310 | lr=1.2500e-04 | Recon MSE=5.270831e-10
  Epoch 1320 | lr=1.2500e-04 | Recon MSE=7.451711e-10
  Epoch 1330 | lr=1.2500e-04 | Recon MSE=5.227040e-10
  Epoch 1340 | lr=1.2500e-04 | Recon MSE=9.171630e-10
  Epoch 1350 | lr=1.2500e-04 | Recon MSE=8.289720e-10
  Epoch 1360 | lr=1.2500e-04 | Recon MSE=8.785489e-10
  Epoch 1370 | lr=1.2500e-04 | Recon MSE=1.807281e-09
  Epoch 1380 | lr=1.2500e-04 | Recon MSE=6.549219e-10
  Epoch 1390 | lr=1.2500e-04 | Recon MSE=1.048617e-09
  Epoch 1400 | lr=1.2500e-04 | Recon MSE=7.524537e-10
  Epoch 1410 | lr=1.2500e-04 | Recon MSE=9.933323e-10
  Epoch 1420 | lr=1.2500e-04 | Recon MSE=5.068216e-10
  Epoch 1430 | lr=1.2500e-04 | Recon MSE=6.206708e-10
  Epoch 1440 | lr=1.2500e-04 | Recon MSE=6.411204e-10
  Epoch 1450 | lr=1.2500e-04 | Recon MSE=6.545407e-10
  Epoch 1460 | lr=1.2500e-04 | Recon MSE=8.741746e-10
  Epoch 1470 | lr=1.2500e-04 | Recon MSE=7.457415e-10
  Epoch 1480 | lr=1.2500e-04 | Recon MSE=9.280805e-10
  Epoch 1490 | lr=1.2500e-04 | Recon MSE=7.656880e-10
  Epoch 1500 | lr=1.2500e-04 | Recon MSE=5.834960e-10
  Epoch 1510 | lr=1.2500e-04 | Recon MSE=9.573176e-10
  Epoch 1520 | lr=1.2500e-04 | Recon MSE=5.575106e-10
  Epoch 1530 | lr=1.2500e-04 | Recon MSE=9.395206e-10
  Epoch 1540 | lr=1.2500e-04 | Recon MSE=6.658224e-10
  Epoch 1550 | lr=1.2500e-04 | Recon MSE=6.341163e-10
  Epoch 1560 | lr=1.2500e-04 | Recon MSE=6.571088e-10
  Epoch 1570 | lr=1.2500e-04 | Recon MSE=7.243507e-10
  Epoch 1580 | lr=1.2500e-04 | Recon MSE=5.563382e-10
  Epoch 1590 | lr=1.2500e-04 | Recon MSE=8.883441e-10
  Epoch 1600 | lr=6.2500e-05 | Recon MSE=1.046364e-09
  Epoch 1610 | lr=6.2500e-05 | Recon MSE=3.662130e-10
  Epoch 1620 | lr=6.2500e-05 | Recon MSE=5.548085e-10
  Epoch 1630 | lr=6.2500e-05 | Recon MSE=3.818790e-10
  Epoch 1640 | lr=6.2500e-05 | Recon MSE=3.966417e-10
  Epoch 1650 | lr=6.2500e-05 | Recon MSE=3.958960e-10
  Epoch 1660 | lr=6.2500e-05 | Recon MSE=6.059021e-10
  Epoch 1670 | lr=6.2500e-05 | Recon MSE=3.493575e-10
  Epoch 1680 | lr=6.2500e-05 | Recon MSE=3.951225e-10
  Epoch 1690 | lr=6.2500e-05 | Recon MSE=4.079850e-10
  Epoch 1700 | lr=6.2500e-05 | Recon MSE=3.373616e-10
  Epoch 1710 | lr=6.2500e-05 | Recon MSE=4.599215e-10
  Epoch 1720 | lr=6.2500e-05 | Recon MSE=4.620483e-10
  Epoch 1730 | lr=6.2500e-05 | Recon MSE=3.827449e-10
  Epoch 1740 | lr=6.2500e-05 | Recon MSE=3.982171e-10
  Epoch 1750 | lr=6.2500e-05 | Recon MSE=4.063141e-10
  Epoch 1760 | lr=6.2500e-05 | Recon MSE=3.717205e-10
  Epoch 1770 | lr=6.2500e-05 | Recon MSE=4.675475e-10
  Epoch 1780 | lr=6.2500e-05 | Recon MSE=5.182016e-10
  Epoch 1790 | lr=6.2500e-05 | Recon MSE=3.292277e-10
  Epoch 1800 | lr=6.2500e-05 | Recon MSE=4.391868e-10
  Epoch 1810 | lr=6.2500e-05 | Recon MSE=3.517894e-10
  Epoch 1820 | lr=6.2500e-05 | Recon MSE=3.077562e-10
  Epoch 1830 | lr=6.2500e-05 | Recon MSE=4.270210e-10
  Epoch 1840 | lr=6.2500e-05 | Recon MSE=2.861152e-10
  Epoch 1850 | lr=6.2500e-05 | Recon MSE=3.407013e-10
  Epoch 1860 | lr=6.2500e-05 | Recon MSE=3.793939e-10
  Epoch 1870 | lr=6.2500e-05 | Recon MSE=4.144688e-10
  Epoch 1880 | lr=6.2500e-05 | Recon MSE=3.634207e-10
  Epoch 1890 | lr=6.2500e-05 | Recon MSE=3.761662e-10
  Epoch 1900 | lr=6.2500e-05 | Recon MSE=3.767262e-10
  Epoch 1910 | lr=6.2500e-05 | Recon MSE=4.173124e-10
  Epoch 1920 | lr=6.2500e-05 | Recon MSE=4.269793e-10
  Epoch 1930 | lr=6.2500e-05 | Recon MSE=3.373941e-10
  Epoch 1940 | lr=6.2500e-05 | Recon MSE=5.097914e-10
  Epoch 1950 | lr=6.2500e-05 | Recon MSE=3.034631e-10
  Epoch 1960 | lr=6.2500e-05 | Recon MSE=4.517555e-10
  Epoch 1970 | lr=6.2500e-05 | Recon MSE=2.773478e-10
  Epoch 1980 | lr=6.2500e-05 | Recon MSE=4.989610e-10
  Epoch 1990 | lr=6.2500e-05 | Recon MSE=4.254758e-10
  Epoch 2000 | lr=3.1250e-05 | Recon MSE=3.732675e-10
Final relative reconstruction error: ||X - X_hat||_F / ||X||_F = 3.928207e-05
Final MSE per sample: 5.042849e-06
Relative error using only selected modes: 1.399042e-03
MSE per sample using only selected modes: 1.796025e-04
2025-06-23 18:41:00,890 - sparsemodesnet.heat_equation_ff_decoder - INFO - ==================================================
2025-06-23 18:41:00,891 - sparsemodesnet.heat_equation_ff_decoder - INFO - Experiment completed successfully!
2025-06-23 18:41:00,891 - sparsemodesnet.heat_equation_ff_decoder - INFO - Selected 3 modes out of 30
2025-06-23 18:41:00,891 - sparsemodesnet.heat_equation_ff_decoder - INFO - Final relative error: 3.928207e-05
